./asio_kcp_client/asio_kcp_client 120.26.200.117 23457 500 2>/dev/null
63  62  57  57  57  58  67  57  56  57  max: 67  average 10: 59  average total: 59 0KB/s(in)
20:19.27 57 57  57  61  51  61  51  61  50  61  max: 61  average 10: 56  average total: 56
20:19.27 62 62  62  59  56  56  55  55  54  66  max: 66  average 10: 58  average total: 58
20:19.28 54 55  63  72  61  48  59  59  59  58  max: 72  average 10: 58  average total: 58
20:19.28 58 57  58  56  57  112 111 83  50  61  max: 112  average 10: 70  average total: 70
20:19.29 49 60  59  59  58  58  58  58  53  55  max: 60  average 10: 56  average total: 56
20:19.29 64 54  54  53  64  63  49  57  57  58  max: 64  average 10: 57  average total: 57
20:19.30 58 56  57  56  56  55  54  56  64  54  max: 64  average 10: 56  average total: 56
20:19.30 63 58  57  58  58  56  57  57  57  56  max: 63  average 10: 57  average total: 57
20:19.31 66 55  55  59  61  61  60  61  60  61  max: 66  average 10: 59  average total: 59
20:19.31 59 59  127 107 110 71  173 124 204 200 max: 204  average 10: 123  average total: 123
20:19.32 322    312 316 277 266 215 204 160 131 100 max: 322  average 10: 230  average total: 230
20:19.32 100    105 104 100 100 98  329 300 258 228 max: 329  average 10: 172  average total: 172
20:19.33 207    166 136 104 74  53  53  65  53  62  max: 207  average 10: 97  average total: 97
20:19.33 63 57  57  57  57  56  55  56  66  75  max: 75  average 10: 59  average total: 59
20:19.34 55 54  68  129 108 77  57  57  58  57  max: 129  average 10: 72  average total: 72
20:19.34 57 57  57  57  57  56  65  52  49  59  max: 65  average 10: 56  average total: 56
20:19.35 60 59  58  59  58  58  58  58  51  62  max: 62  average 10: 58  average total: 58
20:19.35 62 52  62  62  61  61  61  62  60  60  max: 62  average 10: 60  average total: 60
20:19.36 55 54  54  53  64  54  54  54  62  62  max: 64  average 10: 56  average total: 56
20:19.36 61 55  55  56  57  57  56  56  56  57  max: 61  average 10: 56  average total: 56 9.8KB/s(in)
20:19.37 113    113 71  50  62  50  60  51  57  121 max: 121  average 10: 74  average total: 74
20:19.37 109    109 68  58  52  53  62  63  51  63  max: 109  average 10: 68  average total: 68
20:19.38 51 62  61  60  61  65  55  55  55  54  max: 65  average 10: 57  average total: 57
20:19.38 54 55  55  64  55  64  64  65  50  68  max: 68  average 10: 59  average total: 59
20:19.39 59 59  62  120 109 79  59  58  59  54  max: 120  average 10: 71  average total: 71
20:19.39 53 63  53  53  54  64  63  63  64  57  max: 64  average 10: 58  average total: 58
20:19.40 57 57  57  57  56  55  55  55  60  59  max: 60  average 10: 56  average total: 56
20:19.40 60 59  59  59  120 108 78  59  58  58  max: 120  average 10: 71  average total: 71
20:19.41 63 52  62  52  51  51  60  62  60  61  max: 63  average 10: 57  average total: 57
20:19.41 71 63  63  133 103 93  64  52  54  60  max: 133  average 10: 75  average total: 75
20:19.42 61 60  60  60  59  54  53  54  53  54  max: 61  average 10: 56  average total: 56
20:19.42 54 54  55  64  126 109 79  58  59  58  max: 126  average 10: 71  average total: 71
20:19.43 59 57  56  56  68  67  55  65  50  60  max: 68  average 10: 59  average total: 59
20:19.43 50 51  60  61  60  60  59  59  59  58  max: 61  average 10: 57  average total: 57
20:19.44 58 53  53  53  52  62  51  61  62  60  max: 62  average 10: 56  average total: 56
20:19.44 60 62  59  55  54  54  55  55  53  54  max: 62  average 10: 56  average total: 56
20:19.45 53 64  53  63  53  62  54  57  56  56  max: 64  average 10: 57  average total: 57
20:19.45 54 54  64  63  63  62  55  57  56  57  max: 64  average 10: 58  average total: 58
20:19.46 59 55  60  56  55  67  55  54  54  58  max: 67  average 10: 57  average total: 57
20:19.46 57 64  57  57  57  57  56  56  56  68  max: 68  average 10: 58  average total: 58 9.8KB/s(in)
20:19.47 55 59  60  60  61  111 72  60  59  60  max: 111  average 10: 65  average total: 65
20:19.47 58 54  54  53  53  52  61  51  61  61  max: 61  average 10: 55  average total: 55
20:19.48 60 61  56  54  55  54  53  55  64  53  max: 64  average 10: 56  average total: 56
20:19.48 64 54  64  54  59  50  59  58  58  59  max: 64  average 10: 57  average total: 57
20:19.49 58 58  58  56  47  51  61  50  62  60  max: 62  average 10: 56  average total: 56
20:19.49 61 60  59  120 111 78  61  54  54  53  max: 120  average 10: 71  average total: 71
20:19.50 53 55  50  60  59  59  58  58  59  57  max: 60  average 10: 56  average total: 56
20:19.50 57 56  56  61  50  56  63  60  52  60  max: 63  average 10: 57  average total: 57
20:19.51 60 59  60  56  56  55  55  55  54  69  max: 69  average 10: 57  average total: 57
20:19.52 51 61  83  87  70  81  526 497 455 412 max: 526  average 10: 232  average total: 232
20:19.52 403    383 360 326 319 298 284 262 244 247 max: 403  average 10: 312  average total: 312
20:19.53 203    161 145 104 102 103 115 212 189 195 max: 212  average 10: 152  average total: 152
20:19.53 216    197 153 113 70  56  56  55  55  227 max: 227  average 10: 119  average total: 119
20:19.54 186    161 140 89  49  59  58  69  58  72  max: 186  average 10: 94  average total: 94
20:19.54 58 57  57  57  66  73  131 143 93  49  max: 143  average 10: 78  average total: 78
20:19.55 60 90  59  58  84  58  59  59  75  141 max: 141  average 10: 74  average total: 74
20:19.55 100    100 117 124 151 109 114 70  103 61  max: 151  average 10: 104  average total: 104
20:19.56 58 60  96  54  94  173 153 122 82  83  max: 173  average 10: 97  average total: 97
20:19.56 91 61  92  190 156 238 200 158 144 194 max: 238  average 10: 152  average total: 152
20:19.57 154    123 104 62  62  52  61  55  55  57  max: 154  average 10: 78  average total: 78 9.8KB/s(in)
20:19.57 55 54  54  54  63  64  63  63  62  62  max: 64  average 10: 59  average total: 59
20:19.58 62 58  56  56  55  57  55  55  79  54  max: 79  average 10: 58  average total: 58
20:19.58 65 54  64  59  59  59  58  58  57  57  max: 65  average 10: 59  average total: 59
20:19.59 57 56  65  54  53  64  58  57  57  57  max: 65  average 10: 57  average total: 57
20:19.59 57 58  57  57  57  66  59  54  60  48  max: 66  average 10: 57  average total: 57
20:20.0 61  59  58  58  57  58  59  56  55  66  max: 66  average 10: 58  average total: 58
20:20.0 55  55  61  49  59  58  118 109 79  58  max: 118  average 10: 70  average total: 70
20:20.1 59  59  60  58  56  56  53  57  63  52  max: 63  average 10: 57  average total: 57
20:20.1 65  63  52  57  57  57  57  55  56  55  max: 65  average 10: 57  average total: 57
20:20.2 54  54  54  64  63  56  55  55  56  54  max: 64  average 10: 56  average total: 56
20:20.2 53  66  54  53  63  62  62  56  57  57  max: 66  average 10: 58  average total: 58
20:20.3 59  57  56  55  56  55  56  55  56  65  max: 65  average 10: 57  average total: 57
20:20.3 50  60  49  59  59  58  57  58  59  77  max: 77  average 10: 58  average total: 58
20:20.4 56  55  54  59  59  58  58  60  59  61  max: 61  average 10: 57  average total: 57
20:20.4 59  58  59  55  53  54  54  64  55  63  max: 64  average 10: 57  average total: 57
20:20.5 52  63  53  63  58  60  57  55  58  56  max: 63  average 10: 57  average total: 57
20:20.5 56  56  66  56  55  60  64  51  60  60  max: 66  average 10: 58  average total: 58
20:20.6 59  59  58  60  67  57  53  112 114 71  max: 114  average 10: 71  average total: 71
20:20.6 51  62  61  61  61  61  50  65  55  55  max: 65  average 10: 58  average total: 58
20:20.7 56  55  55  58  55  125 101 82  60  61  max: 125  average 10: 70  average total: 70 9.8KB/s(in)
20:20.7 60  60  60  60  60  119 105 74  53  54  max: 119  average 10: 70  average total: 70
20:20.8 54  53  63  64  54  63  62  56  57  57  max: 64  average 10: 58  average total: 58
20:20.8 57  56  57  56  57  56  57  67  59  59  max: 67  average 10: 58  average total: 58
20:20.9 49  59  59  59  119 109 78  57  66  56  max: 119  average 10: 71  average total: 71
20:20.9 60  51  50  61  51  69  52  63  62  62  max: 69  average 10: 58  average total: 58
20:20.10 61 56  56  56  56  64  57  54  65  67  max: 67  average 10: 59  average total: 59
20:20.10 65 64  60  59  58  59  57  57  57  57  max: 65  average 10: 59  average total: 59
20:20.11 59 59  57  66  57  63  53  52  54  50  max: 66  average 10: 57  average total: 57
20:20.11 61 61  112 111 71  57  58  55  55  55  max: 112  average 10: 69  average total: 69
20:20.12 55 54  65  64  55  64  66  58  58  58  max: 66  average 10: 59  average total: 59
20:20.12 59 59  60  58  58  58  58  58  57  53  max: 60  average 10: 57  average total: 57
20:20.13 52 61  52  61  61  61  69  71  66  61  max: 71  average 10: 61  average total: 61
20:20.13 56 56  55  55  55  64  56  64  57  64  max: 64  average 10: 58  average total: 58
20:20.14 60 48  59  60  59  59  59  59  59  59  max: 60  average 10: 58  average total: 58
20:20.14 51 54  63  53  53  62  63  62  62  62  max: 63  average 10: 58  average total: 58
20:20.15 60 60  114 113 73  54  52  53  62  63  max: 114  average 10: 70  average total: 70
20:20.15 62 63  62  52  56  57  56  56  55  56  max: 63  average 10: 57  average total: 57
20:20.16 55 57  55  56  65  55  53  49  59  60  max: 65  average 10: 56  average total: 56
20:20.16 59 58  58  59  57  58  58  59  57  63  max: 63  average 10: 58  average total: 58
20:20.17 51 51  52  51  60  62  61  63  56  56  max: 63  average 10: 56  average total: 56 9.8KB/s(in)
20:20.17 56 57  55  55  54  54  63  54  64  49  max: 64  average 10: 56  average total: 56
20:20.18 58 59  119 109 79  57  59  47  56  51  max: 119  average 10: 69  average total: 69
20:20.18 60 59  119 110 79  120 109 78  57  58  max: 120  average 10: 84  average total: 84
20:20.19 57 57  52  52  50  51  61  60  53  60  max: 61  average 10: 55  average total: 55
20:20.19 60 60  62  58  58  63  53  62  52  61  max: 63  average 10: 58  average total: 58
20:20.20 51 61  61  61  61  59  63  63  60  55  max: 63  average 10: 59  average total: 59
20:20.20 55 54  55  54  56  63  52  63  62  61  max: 63  average 10: 57  average total: 57
20:20.21 61 60  54  54  54  54  54  77  63  63  max: 77  average 10: 59  average total: 59
20:20.21 52 63  66  61  65  60  58  57  56  96  max: 96  average 10: 63  average total: 63
20:20.22 225    217 187 195 149 98  65  89  55  88  max: 225  average 10: 136  average total: 136
20:20.22 59 88  58  82  57  78  57  75  55  71  max: 88  average 10: 68  average total: 68
20:20.23 162    173 122 100 81  60  58  58  76  56  max: 173  average 10: 94  average total: 94
20:20.23 94 99  55  96  49  60  60  86  88  58  max: 99  average 10: 74  average total: 74
20:20.24 57 81  58  57  74  57  70  169 162 121 max: 169  average 10: 90  average total: 90
20:20.25 111    71  59  60  57  57  56  57  68  99  max: 111  average 10: 69  average total: 69
20:20.25 94 191 161 121 101 60  61  61  62  54  max: 191  average 10: 96  average total: 96
20:20.25 54 55  55  125 116 84  52  53  61  57  max: 125  average 10: 71  average total: 71
20:20.26 56 56  55  105 65  54  65  55  64  54  max: 105  average 10: 62  average total: 62
20:20.26 64 55  60  59  58  58  57  58  58  58  max: 64  average 10: 58  average total: 58
20:20.27 56 56  66  56  60  61  59  58  58  59  max: 66  average 10: 58  average total: 58 9.8KB/s(in)
20:20.27 60 59  58  58  58  59  58  59  52  113 max: 113  average 10: 63  average total: 63
20:20.28 105    73  53  63  53  63  63  61  63  61  max: 105  average 10: 65  average total: 65
20:20.28 56 56  57  56  54  55  56  64  64  65  max: 65  average 10: 58  average total: 58
20:20.29 66 52  62  57  57  56  57  56  56  56  max: 66  average 10: 57  average total: 57
