./client_epoll/client_epoll 20003 120.26.200.117 23456 50 2>>./error.log

connect to: 120.26.200.117 23456
Run UDT client loop ...
143 88  51  45  46  50  53  56  48  52  max: 143  average 10: 63  average total: 63 0KB/s(in)
20:19.31 58 49  64  46  51  55  45  49  50  48  max: 64  average 10: 51  average total: 57
20:19.31 51 52  54  55  47  88  124 141 142 175 max: 175  average 10: 92  average total: 69
20:19.32 176    151 145 169 134 94  104 103 118 94  max: 176  average 10: 128  average total: 84
20:19.32 250    232 208 257 238 233 196 168 147 193 max: 257  average 10: 212  average total: 109
20:19.33 166    116 88  74  65  51  55  45  52  45  max: 166  average 10: 75  average total: 104
20:19.33 51 56  44  61  54  46  46  54  64  58  max: 64  average 10: 53  average total: 96
20:19.34 48 53  48  53  45  51  57  59  54  46  max: 59  average 10: 51  average total: 91
20:19.34 49 52  152 100 62  52  45  52  47  53  max: 152  average 10: 66  average total: 88
20:19.35 45 56  60  54  46  52  45  46  58  152 max: 152  average 10: 61  average total: 85
20:19.36 109    69  45  48  56  44  49  52  45  50  max: 109  average 10: 56  average total: 83
20:19.36 53 45  49  58  51  57  49  59  48  55  max: 59  average 10: 52  average total: 80
20:19.36 47 53  58  51  67  47  52  46  62  52  max: 67  average 10: 53  average total: 78
20:19.37 57 46  50  55  49  67  53  54  45  52  max: 67  average 10: 52  average total: 76
20:19.38 45 48  62  52  54  44  48  59  50  57  max: 62  average 10: 51  average total: 74
20:19.38 47 55  45  60  53  46  48  53  45  45  max: 60  average 10: 49  average total: 73
20:19.39 50 45  49  51  57  48  50  53  44  48  max: 57  average 10: 49  average total: 71
20:19.39 51 65  45  62  64  57  51  53  47  51  max: 65  average 10: 54  average total: 71
20:19.40 45 49  54  45  50  54  46  50  53  45  max: 54  average 10: 49  average total: 69
20:19.40 47 50  64  57  49  49  56  46  50  54  max: 64  average 10: 52  average total: 68 0.9KB/s(in)
20:19.41 56 50  56  48  50  61  47  51  62  55  max: 62  average 10: 53  average total: 68
