./client_epoll/client_epoll 20003 120.26.200.117 23456 500 2>>./error.log

Run UDT client loop ...
147 97  58  47  53  57  51  46  49  49  max: 147  average 10: 65  average total: 65 0KB/s(in)
20:6.31 55  55  48  56  48  51  47  53  47  56  max: 56  average 10: 51  average total: 58
20:6.32 55  51  46  47  51  68  81  91  92  95  max: 95  average 10: 67  average total: 61
20:6.32 92  87  77  68  58  46  63  59  49  64  max: 92  average 10: 66  average total: 62
20:6.33 56  60  55  61  56  52  57  57  62  58  max: 62  average 10: 57  average total: 61
20:6.33 51  58  171 142 115 62  57  60  64  58  max: 171  average 10: 83  average total: 65
20:6.34 56  57  51  69  61  66  58  59  63  56  max: 69  average 10: 59  average total: 64
20:6.34 61  67  61  67  58  60  50  67  68  58  max: 68  average 10: 61  average total: 64
20:6.35 59  49  62  57  55  50  72  58  67  63  max: 72  average 10: 59  average total: 63
20:6.35 53  60  51  56  60  59  53  59  64  56  max: 64  average 10: 57  average total: 62
20:6.36 60  67  57  61  54  60  62  56  58  53  max: 67  average 10: 58  average total: 62
20:6.36 49  165 122 78  69  56  62  67  79  58  max: 165  average 10: 80  average total: 64
20:6.37 53  46  63  56  50  64  57  50  67  61  max: 67  average 10: 56  average total: 63
20:6.37 66  56  59  51  69  57  64  58  67  62  max: 69  average 10: 60  average total: 63
20:6.38 56  60  54  48  60  62  59  62  63  60  max: 63  average 10: 58  average total: 63
20:6.38 66  58  50  68  63  53  57  48  81  59  max: 81  average 10: 60  average total: 62
20:6.39 65  57  58  58  61  57  49  68  61  62  max: 68  average 10: 59  average total: 62
20:6.40 57  59  166 119 75  55  56  60  53  48  max: 166  average 10: 74  average total: 63
20:6.40 66  60  56  48  62  66  59  64  56  46  max: 66  average 10: 58  average total: 63
20:6.41 62  56  61  68  62  57  52  56  57  58  max: 68  average 10: 58  average total: 62
20:6.41 60  51  68  57  60  54  60  51  66  61  max: 68  average 10: 58  average total: 62 9.5KB/s(in)
20:6.42 64  74  77  60  62  53  45  61  66  60  max: 77  average 10: 62  average total: 62
20:6.42 65  60  62  57  53  64  57  48  65  57  max: 65  average 10: 58  average total: 62
20:6.43 64  58  47  64  57  58  62  59  161 110 max: 161  average 10: 74  average total: 62
20:6.43 65  49  61  54  59  63  67  58  66  57  max: 67  average 10: 59  average total: 62
20:6.44 64  58  53  48  62  53  56  49  66  57  max: 66  average 10: 56  average total: 62
20:6.44 62  58  60  54  58  61  54  58  50  69  max: 69  average 10: 58  average total: 62
20:6.45 59  53  57  52  55  61  63  71  60  68  max: 71  average 10: 59  average total: 62
20:6.45 61  65  67  66  64  59  62  57  195 142 max: 195  average 10: 83  average total: 63
20:6.46 92  71  70  65  66  172 121 80  72  67  max: 172  average 10: 87  average total: 63
20:6.46 66  64  61  61  64  168 120 73  62  62  max: 168  average 10: 80  average total: 64
20:6.47 72  71  64  54  64  72  64  64  160 111 max: 160  average 10: 79  average total: 64
20:6.47 68  49  60  56  59  62  58  70  60  53  max: 70  average 10: 59  average total: 64
20:6.48 58  63  54  48  62  55  47  63  58  50  max: 63  average 10: 55  average total: 64
20:6.48 56  47  61  71  59  53  65  58  167 116 max: 167  average 10: 75  average total: 64
20:6.49 71  58  62  64  55  61  54  59  54  59  max: 71  average 10: 59  average total: 64
20:6.50 52  57  49  66  67  62  62  57  62  55  max: 67  average 10: 58  average total: 64
20:6.50 66  56  59  65  58  62  57  58  51  64  max: 66  average 10: 59  average total: 64
20:6.51 58  60  68  56  50  59  55  59  69  59  max: 69  average 10: 59  average total: 64
20:6.51 166 118 65  57  64  59  54  57  59  65  max: 166  average 10: 76  average total: 64
20:6.52 57  60  64  55  57  59  62  64  57  49  max: 64  average 10: 58  average total: 64 9.5KB/s(in)
20:6.52 64  58  61  57  49  61  63  65  58  52  max: 65  average 10: 58  average total: 64
20:6.53 57  61  54  58  53  56  53  47  61  68  max: 68  average 10: 56  average total: 64
20:6.53 60  58  49  65  59  49  65  59  50  57  max: 65  average 10: 57  average total: 63
20:6.54 59  62  57  48  62  54  60  73  63  64  max: 73  average 10: 60  average total: 63
20:6.54 58  66  58  164 114 72  58  59  55  58  max: 164  average 10: 76  average total: 64
20:6.55 59  52  55  56  59  63  77  72  65  56  max: 77  average 10: 61  average total: 64
20:6.55 50  56  59  64  57  51  56  61  65  66  max: 66  average 10: 58  average total: 63
20:6.56 56  63  56  58  61  64  68  63  57  47  max: 68  average 10: 59  average total: 63
20:6.56 64  57  50  70  65  57  61  63  66  60  max: 70  average 10: 61  average total: 63
20:6.57 66  83  61  55  59  62  66  56  69  62  max: 83  average 10: 63  average total: 63
20:6.57 58  49  63  66  57  62  63  58  51  67  max: 67  average 10: 59  average total: 63
20:6.58 57  61  64  55  47  59  68  60  52  58  max: 68  average 10: 58  average total: 63
20:6.58 59  61  65  57  64  65  57  48  66  59  max: 66  average 10: 60  average total: 63
20:6.59 53  58  63  62  58  48  60  64  67  62  max: 67  average 10: 59  average total: 63
20:7.0 57   47  60  52  46  58  50  66  57  56  max: 66  average 10: 54  average total: 63
